date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
31-10-17,4933613.089,1819,182804000,28.4,827355,7372.900068,5.74199504
01-11-17,6267500.783,1843,173173000,26.89,674856,6666.934367,20.57692016
02-11-17,8640282.285,1946,163871000,24.81,1047120,6550.052628,8.64011962
03-11-17,4592382.79,1788,150680000,27.61,868381,5708.504111,7.86421235
04-11-17,6673944.033,2086,168366000,28.93,1261680,7349.52372,6.81405712
05-11-17,4800307.209,1784,177812000,29.04,663890,6470.573046,10.85916427
06-11-17,5573901.659,1951,175152000,28.8,765875,7036.280661,8.88749937
07-11-17,6986667.993,2049,175780000,29.33,719772,6428.079012,9.4050697
08-11-17,5581881.506,1831,178933000,31.58,1376420,6202.832857,9.21532835
09-11-17,6028918.777,2191,193102000,33.06,1319970,6975.872474,10.10169155
10-11-17,7972924.936,2232,203552000,30.27,1915030,7110.112887,10.98146694
11-11-17,5082377.282,1728,185105000,30.71,1123000,5545.517733,8.41121414
12-11-17,5325453.725,2099,187209000,29.42,1481680,6188.945918,9.29739585
13-11-17,9033630.17,2259,181499000,31.79,1190620,7123.999826,11.40836317
14-11-17,5411453.028,1888,196289000,34.32,598313,6554.635318,7.24217865
15-11-17,6440028.658,2092,210956000,34.35,1392810,6471.313682,8.50242028
16-11-17,5985386.548,2119,211980000,32.64,930075,6985.130434,8.79242535
17-11-17,5703027.62,1958,201045000,32.04,774417,6827.745122,9.36665768
18-11-17,6062008.967,1746,198149000,34.82,889428,5485.340997,6.5432749
19-11-17,6034308.61,2026,219909000,35.06,1314670,6688.87573,10.72165432
20-11-17,6652879.951,1979,217053000,34.04,1003650,7267.498198,11.2746843
21-11-17,7643152.074,1803,208798000,34.14,1105250,5962.12591,8.82745686
22-11-17,7293885.224,2130,211720000,40.42,2837990,7063.823089,8.605581
23-11-17,7758201.597,2114,250978000,42.97,5145980,6411.136946,7.8338188
24-11-17,8483843.527,2200,269568000,48.18,7656400,6716.649609,8.99469834
25-11-17,10236751.57,2035,297129000,49.96,5058140,6374.105108,13.29519345
26-11-17,14637962.04,2739,309762000,61.73,16942800,6804.600224,9.63085635
27-11-17,28943192.52,3582,383774000,60.04,11913600,6448.168783,10.28964735
28-11-17,12651692.53,2692,366970000,56,7372390,6568.522257,11.76928276
29-11-17,56912865.73,2980,349196000,48.94,10574400,6474.155235,11.68893565
30-11-17,37525085.28,2298,311003000,56.64,9936510,6508.070532,13.22520904
01-12-17,9142537.462,1915,356206000,58.41,3625560,6879.305541,8.85444429
02-12-17,18443380.44,1870,364935000,55.41,3053320,6223.91534,26.03002238
03-12-17,7885559.769,1819,350282000,53.74,3757050,5944.343296,8.70064304
04-12-17,11164566.56,2096,340275000,58.27,2959120,7058.048324,9.41710885
05-12-17,15818313.35,2294,370074000,56.06,3611860,6489.737939,8.94664058
06-12-17,11896371.36,2268,353151000,50.4,5100420,6095.587189,12.98747156
07-12-17,11374681.84,2281,316535000,50.29,5119330,6402.658122,10.46985151
08-12-17,20909703.23,2239,316353000,56.87,5471720,6301.82886,10.48508638
09-12-17,10834579.4,1986,356309000,53.53,2095120,6443.906456,7.27394419
10-12-17,10650617.03,2068,339925000,56.19,4826340,6668.480721,5.94718024
11-12-17,11475251.2,2037,355557000,57.8,2280320,6535.569422,6.22291201
12-12-17,20361913.93,2565,369218000,71.61,4423800,6741.811093,17.05525099
13-12-17,17207410.97,3203,461910000,72.99,7515370,7410.95074,11.60412926
14-12-17,12976978.8,2257,466232000,73.72,3369950,5279.786798,8.53531667
15-12-17,22952716.23,2606,470097000,71.91,3811390,6466.822198,10.56515376
16-12-17,18652804.33,2681,451653000,83.97,6277910,6865.556097,9.62955399
17-12-17,17606360.34,2764,530861000,85.46,6839700,6792.225724,12.78974204
18-12-17,15798456.55,2255,546632000,92.64,6894280,5293.536243,7.48681696
19-12-17,20431858.73,2786,595268000,91.44,8885100,7603.442967,11.03897366
20-12-17,16355780.3,2604,589168000,95.52,6906580,6259.400705,9.78169339
21-12-17,22637050.46,2748,613739000,93.82,7503270,5672.213195,9.3201344
